text,label,template
"Since my kidney stone, I have mild abdominal discomfort over the past week",YELLOW,en:I have mild abdominal discomfort {t}
Can I take paracetamol for a mild headache?,GREEN,en:can I take paracetamol for a mild headache?
I have stage 3 kidney disease and I've been short of breath for a few days now,RED,en:I've been short of breath {t}
কাল রাত থেকে বুকে চাপ লাগছে,RED,bn:{t}বুকে চাপ লাগছে
"Good morning, can I get my flu vaccination at the clinic?",GREEN,en:can I get my flu vaccination at the clinic?
My doctor said I have reduced kidney function and I haven't been going to the bathroom as much over the past week,YELLOW,en:I haven't been going to the bathroom as much {t}
"Please, does the clinic open on weekends?",GREEN,en:does the clinic open on weekends?
"Please, are my last lab results available yet?",GREEN,en:are my last lab results available yet?
I'm on dialysis and I have flank pain over the past week,YELLOW,en:I have flank pain {t}
I'm going to the bathroom less often for a few days now,YELLOW,en:I'm going to the bathroom less often {t}
"Since my kidney stone, I can't breathe properly for the last two days",RED,en:I can't breathe properly {t}
"কিডনি রোগী হিসেবে বলছি, গতকাল থেকে আগের চেয়ে কম প্রস্রাব হচ্ছে",YELLOW,bn:{t}আগের চেয়ে কম প্রস্রাব হচ্ছে
"I'm on dialysis and I have a sudden severe headache, the worst one of my life since yesterday",RED,"en:I have a sudden severe headache, the worst one of my life {t}"
I had a kidney transplant last year and I can't breathe properly over the past week,RED,en:I can't breathe properly {t}
দুই দিন ধরে পেটে হালকা ব্যথা,YELLOW,bn:{t}পেটে হালকা ব্যথা
ব্যায়াম করা কি আমার জন্য নিরাপদ?,GREEN,bn:ব্যায়াম করা কি আমার জন্য নিরাপদ?
Is the pharmacy open after 6 pm?,GREEN,en:is the pharmacy open after 6 pm?
"Hello, when is my next follow-up scheduled?",GREEN,en:when is my next follow-up scheduled?
I have stage 3 kidney disease and I have severe pain in my side with a high fever and shaking chills over the past week,RED,en:I have severe pain in my side with a high fever and shaking chills {t}
I'm on dialysis and I feel severely confused for a few days now,RED,en:I feel severely confused {t}
"Hello, is a bit of an upset stomach after meals normal for my condition?",GREEN,en:is a bit of an upset stomach after meals normal for my condition?
"আমি ডায়ালাইসিস নিচ্ছি, দম বন্ধ হয়ে আসছে",RED,bn:{t}দম বন্ধ হয়ে আসছে
"কিডনি রোগী হিসেবে বলছি, গতকাল থেকে বুকে ব্যথা করছে",RED,bn:{t}বুকে ব্যথা করছে
"আমার কিডনি রোগ আছে, আজ সকাল থেকে আমি জ্ঞান হারিয়ে ফেলেছিলাম",RED,bn:{t}আমি জ্ঞান হারিয়ে ফেলেছিলাম
Can I switch to an evening dialysis slot?,GREEN,en:can I switch to an evening dialysis slot?
My doctor said I have reduced kidney function and my ankles leave a dent when I press them this morning,YELLOW,en:my ankles leave a dent when I press them {t}
"Please, is a bit of an upset stomach after meals normal for my condition?",GREEN,en:is a bit of an upset stomach after meals normal for my condition?
I'm on dialysis and I passed out for a few days now,RED,en:I passed out {t}
"আমার কিডনি রোগ আছে, দুই দিন ধরে বুকে ব্যথা করছে",RED,bn:{t}বুকে ব্যথা করছে
"কিডনি রোগী হিসেবে বলছি, কাল রাত থেকে শ্বাস নিতে খুব কষ্ট হচ্ছে",RED,bn:{t}শ্বাস নিতে খুব কষ্ট হচ্ছে
Quick question - does the clinic open on weekends?,GREEN,en:does the clinic open on weekends?
"As a kidney patient, I have a mild headache since this afternoon",YELLOW,en:I have a mild headache {t}
দুই দিন ধরে প্রস্রাব করতে পারছি না,RED,bn:{t}প্রস্রাব করতে পারছি না
"কিডনি রোগী হিসেবে বলছি, গতকাল থেকে হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে",RED,bn:{t}হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে
"Please, should I take my phosphate binder before or after meals?",GREEN,en:should I take my phosphate binder before or after meals?
"Since my kidney stone, I have no urine output for the last two days",RED,en:I have no urine output {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, দুই দিন ধরে শ্বাসকষ্ট হচ্ছে",RED,bn:{t}শ্বাসকষ্ট হচ্ছে
"কিডনি রোগী হিসেবে বলছি, অজ্ঞান হয়ে গিয়েছিলাম",RED,bn:{t}অজ্ঞান হয়ে গিয়েছিলাম
"Since my kidney stone, I've had muscle cramps since last night",YELLOW,en:I've had muscle cramps {t}
"As a kidney patient, I haven't passed any urine over the past week",RED,en:I haven't passed any urine {t}
I have stage 3 kidney disease and I have some abdominal cramping for the last two days,YELLOW,en:I have some abdominal cramping {t}
"Please, how long does a routine checkup usually take?",GREEN,en:how long does a routine checkup usually take?
একটা প্রশ্ন ছিল - ওষুধ খাওয়ার নিয়ম কী?,GREEN,bn:ওষুধ খাওয়ার নিয়ম কী?
"As a kidney patient, my urine has an unusual smell since last night",YELLOW,en:my urine has an unusual smell {t}
"আমি ডায়ালাইসিস নিচ্ছি, গতকাল থেকে খেতে ইচ্ছে করছে না",YELLOW,bn:{t}খেতে ইচ্ছে করছে না
"কিডনি রোগী হিসেবে বলছি, কাল রাত থেকে প্রস্রাবে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবে রক্ত যাচ্ছে
I have CKD and I think I had a seizure this morning,RED,en:I think I had a seizure {t}
I'm on dialysis and I have a mild headache this morning,YELLOW,en:I have a mild headache {t}
"Hi, is it okay to have oranges with my potassium levels?",GREEN,en:is it okay to have oranges with my potassium levels?
I'm on dialysis and I've had trouble concentrating and feel foggy since last night,YELLOW,en:I've had trouble concentrating and feel foggy {t}
Quick question - is brown rice okay for my diet?,GREEN,en:is brown rice okay for my diet?
There's a metallic taste in my mouth over the past week,YELLOW,en:there's a metallic taste in my mouth {t}
My side hurts near where my kidney is for a few days now,YELLOW,en:my side hurts near where my kidney is {t}
"আসসালামু আলাইকুম, আমি কি বিমানে ভ্রমণ করতে পারব?",GREEN,bn:আমি কি বিমানে ভ্রমণ করতে পারব?
"As a kidney patient, I have some abdominal cramping this morning",YELLOW,en:I have some abdominal cramping {t}
"Since my kidney stone, I passed out for a few days now",RED,en:I passed out {t}
I've been vomiting blood for a few days now,RED,en:I've been vomiting blood {t}
I have CKD and I feel severely confused since yesterday,RED,en:I feel severely confused {t}
I'd like to request a refill of my blood pressure medication,GREEN,en:I'd like to request a refill of my blood pressure medication
"Please, I get a mild headache sometimes, is that anything to worry about?",GREEN,"en:I get a mild headache sometimes, is that anything to worry about?"
I had a kidney transplant last year and my urine output seems lower than normal over the past week,YELLOW,en:my urine output seems lower than normal {t}
"Since my kidney stone, I have crushing pain spreading to my arm and jaw",RED,en:I have crushing pain spreading to my arm and jaw
"আমার কিডনি রোগ আছে, আজ সকাল থেকে পা ও গোড়ালি ফুলে আছে",YELLOW,bn:{t}পা ও গোড়ালি ফুলে আছে
I'm on dialysis and my eyes are puffy in the mornings for the last two days,YELLOW,en:my eyes are puffy in the mornings {t}
Blood is coming through my urine for the last two days,RED,en:blood is coming through my urine {t}
Quick question - is it fine to have yogurt on my diet?,GREEN,en:is it fine to have yogurt on my diet?
Are my last lab results available yet?,GREEN,en:are my last lab results available yet?
"Hi, can I book an appointment for next Monday?",GREEN,en:can I book an appointment for next Monday?
I have heavy bleeding that won't stop since last night,RED,en:I have heavy bleeding that won't stop {t}
"Hi, can I eat bananas on my current diet?",GREEN,en:can I eat bananas on my current diet?
My doctor said I have reduced kidney function and I've been short of breath for a few days now,RED,en:I've been short of breath {t}
"Hello, how do I update my address in your records?",GREEN,en:how do I update my address in your records?
I'm on dialysis and my urine looks foamy for a few days now,YELLOW,en:my urine looks foamy {t}
Can I eat tomatoes with my condition?,GREEN,en:can I eat tomatoes with my condition?
My eyes are puffy in the mornings since last night,YELLOW,en:my eyes are puffy in the mornings {t}
I had a kidney transplant last year and I have severe pain in my side with a high fever and shaking chills since yesterday,RED,en:I have severe pain in my side with a high fever and shaking chills {t}
"Since my kidney stone, my heartbeat feels irregular and I'm very weak and dizzy since last night",RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
I'm on dialysis and my abdominal pain is severe and I also have a high fever for a few days now,RED,en:my abdominal pain is severe and I also have a high fever {t}
"Since my kidney stone, I've had a headache on and off since this afternoon",YELLOW,en:I've had a headache on and off {t}
"আমি ডায়ালাইসিস নিচ্ছি, দুই দিন ধরে প্রস্রাব হচ্ছে না",RED,bn:{t}প্রস্রাব হচ্ছে না
"Hi, can I travel by plane next month?",GREEN,en:can I travel by plane next month?
"As a kidney patient, I have some abdominal cramping for the last two days",YELLOW,en:I have some abdominal cramping {t}
I've been feeling very tired and weak since yesterday,YELLOW,en:I've been feeling very tired and weak {t}
I had a kidney transplant last year and I have a mild headache this morning,YELLOW,en:I have a mild headache {t}
খুব ক্লান্ত লাগছে,YELLOW,bn:{t}খুব ক্লান্ত লাগছে
I have stage 3 kidney disease and I've had trouble concentrating and feel foggy over the past week,YELLOW,en:I've had trouble concentrating and feel foggy {t}
আজ সকাল থেকে প্রস্রাব হচ্ছে না,RED,bn:{t}প্রস্রাব হচ্ছে না
দুই দিন ধরে মুখে ধাতব স্বাদ লাগছে,YELLOW,bn:{t}মুখে ধাতব স্বাদ লাগছে
I've been urinating less than usual since yesterday,YELLOW,en:I've been urinating less than usual {t}
"দয়া করে জানাবেন, ক্লিনিক কি শুক্রবার খোলা থাকে?",GREEN,bn:ক্লিনিক কি শুক্রবার খোলা থাকে?
"Please, can I eat bananas on my current diet?",GREEN,en:can I eat bananas on my current diet?
"I have a sudden severe headache, the worst one of my life since this afternoon",RED,"en:I have a sudden severe headache, the worst one of my life {t}"
I have CKD and my urine has turned dark like cola and I feel terrible since this afternoon,RED,en:my urine has turned dark like cola and I feel terrible {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, আজ সকাল থেকে প্রস্রাবের সাথে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবের সাথে রক্ত যাচ্ছে
I'm on dialysis and I feel severely confused since yesterday,RED,en:I feel severely confused {t}
"Hi, is a bit of an upset stomach after meals normal for my condition?",GREEN,en:is a bit of an upset stomach after meals normal for my condition?
"As a kidney patient, I have a mild headache for a few days now",YELLOW,en:I have a mild headache {t}
দিনে কতটুকু পানি খাব?,GREEN,bn:দিনে কতটুকু পানি খাব?
I have CKD and my legs and ankles have been swelling over the past week,YELLOW,en:my legs and ankles have been swelling {t}
"দয়া করে জানাবেন, গত ভিজিটে সাহায্যের জন্য ধন্যবাদ",GREEN,bn:গত ভিজিটে সাহায্যের জন্য ধন্যবাদ
"Good morning, how many cups of fluid can I have daily?",GREEN,en:how many cups of fluid can I have daily?
I'm on dialysis and my heartbeat feels irregular and I'm very weak and dizzy since this afternoon,RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কাল রাত থেকে মুখে ধাতব স্বাদ লাগছে",YELLOW,bn:{t}মুখে ধাতব স্বাদ লাগছে
"Since my kidney stone, I feel severely confused since last night",RED,en:I feel severely confused {t}
I had a kidney transplant last year and I've been sleeping badly and feel restless for the last two days,YELLOW,en:I've been sleeping badly and feel restless {t}
"Hello, can I eat bananas on my current diet?",GREEN,en:can I eat bananas on my current diet?
একটা প্রশ্ন ছিল - আমার রিপোর্ট কি চলে এসেছে?,GREEN,bn:আমার রিপোর্ট কি চলে এসেছে?
Quick question - what documents do I need for my next visit?,GREEN,en:what documents do I need for my next visit?
কাল রাত থেকে পা ফুলে যাচ্ছে,YELLOW,bn:{t}পা ফুলে যাচ্ছে
I had a kidney transplant last year and I've had a dull headache and feel a bit off for a few days now,YELLOW,en:I've had a dull headache and feel a bit off {t}
I have stage 3 kidney disease and blood is coming through my urine for the last two days,RED,en:blood is coming through my urine {t}
Quick question - do I need to fast before my blood test?,GREEN,en:do I need to fast before my blood test?
I'm on dialysis and I think I had a seizure since yesterday,RED,en:I think I had a seizure {t}
Do I need to fast before my blood test?,GREEN,en:do I need to fast before my blood test?
"Since my kidney stone, I have heavy bleeding that won't stop over the past week",RED,en:I have heavy bleeding that won't stop {t}
Blood is coming through my urine over the past week,RED,en:blood is coming through my urine {t}
My doctor said I have reduced kidney function and I've been peeing blood since this afternoon,RED,en:I've been peeing blood {t}
"আসসালামু আলাইকুম, টমেটো খাওয়া যাবে কি?",GREEN,bn:টমেটো খাওয়া যাবে কি?
Quick question - how much salt is safe for me per day?,GREEN,en:how much salt is safe for me per day?
"Good morning, how long does a routine checkup usually take?",GREEN,en:how long does a routine checkup usually take?
"Hi, is there wheelchair access at the entrance?",GREEN,en:is there wheelchair access at the entrance?
"Hi, does the clinic open on weekends?",GREEN,en:does the clinic open on weekends?
"আসসালামু আলাইকুম, আমার রিপোর্ট কি চলে এসেছে?",GREEN,bn:আমার রিপোর্ট কি চলে এসেছে?
I had a kidney transplant last year and I think I had a seizure for a few days now,RED,en:I think I had a seizure {t}
I have CKD and I fainted since last night,RED,en:I fainted {t}
ক্লিনিক কি শুক্রবার খোলা থাকে?,GREEN,bn:ক্লিনিক কি শুক্রবার খোলা থাকে?
I had a kidney transplant last year and my abdominal pain is severe and I also have a high fever since yesterday,RED,en:my abdominal pain is severe and I also have a high fever {t}
Can you send me a copy of my prescription?,GREEN,en:can you send me a copy of my prescription?
কাল রাত থেকে হালকা জ্বর এসেছে,YELLOW,bn:{t}হালকা জ্বর এসেছে
"কিডনি রোগী হিসেবে বলছি, গতকাল থেকে রক্তচাপ স্বাভাবিকের চেয়ে বেশি",YELLOW,bn:{t}রক্তচাপ স্বাভাবিকের চেয়ে বেশি
I had a kidney transplant last year and I've been really itchy all over for a few days now,YELLOW,en:I've been really itchy all over {t}
"কিডনি রোগী হিসেবে বলছি, আজ সকাল থেকে প্রস্রাব করতে পারছি না",RED,bn:{t}প্রস্রাব করতে পারছি না
"Since my kidney stone, I haven't passed any urine over the past week",RED,en:I haven't passed any urine {t}
I had a kidney transplant last year and I'm peeing much less than before this morning,YELLOW,en:I'm peeing much less than before {t}
"আমি ডায়ালাইসিস নিচ্ছি, দুই দিন ধরে আমি জ্ঞান হারিয়ে ফেলেছিলাম",RED,bn:{t}আমি জ্ঞান হারিয়ে ফেলেছিলাম
একটা প্রশ্ন ছিল - টমেটো খাওয়া যাবে কি?,GREEN,bn:টমেটো খাওয়া যাবে কি?
I have stage 3 kidney disease and I have flank pain over the past week,YELLOW,en:I have flank pain {t}
"As a kidney patient, I have some abdominal pain over the past week",YELLOW,en:I have some abdominal pain {t}
I have CKD and my urine has turned dark like cola and I feel terrible for the last two days,RED,en:my urine has turned dark like cola and I feel terrible {t}
"Since my kidney stone, I have severe pain in my side with a high fever and shaking chills for a few days now",RED,en:I have severe pain in my side with a high fever and shaking chills {t}
My doctor said I have reduced kidney function and my side hurts near where my kidney is over the past week,YELLOW,en:my side hurts near where my kidney is {t}
I'm on dialysis and I fainted since this afternoon,RED,en:I fainted {t}
I feel dizzy when I stand up over the past week,YELLOW,en:I feel dizzy when I stand up {t}
"কিডনি রোগী হিসেবে বলছি, কয়েকদিন ধরে প্রস্রাবের সাথে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবের সাথে রক্ত যাচ্ছে
আমি কি বিমানে ভ্রমণ করতে পারব?,GREEN,bn:আমি কি বিমানে ভ্রমণ করতে পারব?
I'm extremely drowsy and can barely stay awake this morning,RED,en:I'm extremely drowsy and can barely stay awake {t}
I have stage 3 kidney disease and my heartbeat feels irregular and I'm very weak and dizzy since last night,RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
My doctor said I have reduced kidney function and is it normal that I'm peeing so little lately?,YELLOW,en:is it normal that I'm peeing so little lately?
I've gained a few kilos over the past week and feel bloated,YELLOW,en:I've gained a few kilos {t} and feel bloated
Quick question - what should my daily water intake be?,GREEN,en:what should my daily water intake be?
একটা প্রশ্ন ছিল - দিনে কতটুকু পানি খাব?,GREEN,bn:দিনে কতটুকু পানি খাব?
একটা প্রশ্ন ছিল - প্রেসক্রিপশনের একটি কপি পাঠাতে পারবেন?,GREEN,bn:প্রেসক্রিপশনের একটি কপি পাঠাতে পারবেন?
"As a kidney patient, I'm going to the bathroom less often since this afternoon",YELLOW,en:I'm going to the bathroom less often {t}
My ankles leave a dent when I press them for a few days now,YELLOW,en:my ankles leave a dent when I press them {t}
"কিডনি রোগী হিসেবে বলছি, আজ সকাল থেকে আমি জ্ঞান হারিয়ে ফেলেছিলাম",RED,bn:{t}আমি জ্ঞান হারিয়ে ফেলেছিলাম
"Please, how much salt is safe for me per day?",GREEN,en:how much salt is safe for me per day?
I'm on dialysis and I fainted since yesterday,RED,en:I fainted {t}
"Hi, can I take paracetamol for a mild headache?",GREEN,en:can I take paracetamol for a mild headache?
দুই দিন ধরে সারা শরীর চুলকাচ্ছে,YELLOW,bn:{t}সারা শরীর চুলকাচ্ছে
I passed out since yesterday,RED,en:I passed out {t}
"Not peeing much lately, is that normal?",YELLOW,"en:not peeing much lately, is that normal?"
"Since my kidney stone, my hands and feet feel swollen since this afternoon",YELLOW,en:my hands and feet feel swollen {t}
"কিডনি রোগী হিসেবে বলছি, প্রস্রাবের সাথে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবের সাথে রক্ত যাচ্ছে
My doctor said I have reduced kidney function and my legs are hugely swollen and now it's hard to lie flat since yesterday,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
"Hi, what documents do I need for my next visit?",GREEN,en:what documents do I need for my next visit?
I have CKD and my urination has decreased for the last two days,YELLOW,en:my urination has decreased {t}
"Hello, is it fine to have yogurt on my diet?",GREEN,en:is it fine to have yogurt on my diet?
"I get a mild headache sometimes, is that anything to worry about?",GREEN,"en:I get a mild headache sometimes, is that anything to worry about?"
"আমার কিডনির কার্যক্ষমতা কমে গেছে, আজ সকাল থেকে হালকা মাথাব্যথা করছে",YELLOW,bn:{t}হালকা মাথাব্যথা করছে
"Since my kidney stone, I have a sudden severe headache, the worst one of my life since last night",RED,"en:I have a sudden severe headache, the worst one of my life {t}"
"আমার কিডনির কার্যক্ষমতা কমে গেছে, আজ সকাল থেকে আগের চেয়ে কম প্রস্রাব হচ্ছে",YELLOW,bn:{t}আগের চেয়ে কম প্রস্রাব হচ্ছে
"আমি ডায়ালাইসিস নিচ্ছি, কয়েকদিন ধরে রক্ত বমি হচ্ছে",RED,bn:{t}রক্ত বমি হচ্ছে
I have stage 3 kidney disease and I've been urinating less than usual since this afternoon,YELLOW,en:I've been urinating less than usual {t}
I'm on dialysis and I have severe abdominal pain that won't go away for the last two days,RED,en:I have severe abdominal pain that won't go away {t}
I have CKD and I have a dull ache in my kidney area over the past week,YELLOW,en:I have a dull ache in my kidney area {t}
When is my next follow-up scheduled?,GREEN,en:when is my next follow-up scheduled?
I have stage 3 kidney disease and my urine output seems lower than normal this morning,YELLOW,en:my urine output seems lower than normal {t}
I'm on dialysis and I'm not urinating as much as I used to since last night,YELLOW,en:I'm not urinating as much as I used to {t}
I have CKD and I have a mild fever for the last two days,YELLOW,en:I have a mild fever {t}
Can I reschedule my lab test to the morning?,GREEN,en:can I reschedule my lab test to the morning?
"As a kidney patient, my legs and ankles have been swelling for a few days now",YELLOW,en:my legs and ankles have been swelling {t}
My doctor said I have reduced kidney function and I've noticed a strange odor in my urine since yesterday,YELLOW,en:I've noticed a strange odor in my urine {t}
My doctor said I have reduced kidney function and my ankles leave a dent when I press them for a few days now,YELLOW,en:my ankles leave a dent when I press them {t}
I have stage 3 kidney disease and I have mild abdominal discomfort since yesterday,YELLOW,en:I have mild abdominal discomfort {t}
"I had a kidney transplant last year and I have a sudden severe headache, the worst one of my life over the past week",RED,"en:I have a sudden severe headache, the worst one of my life {t}"
Can I get my flu vaccination at the clinic?,GREEN,en:can I get my flu vaccination at the clinic?
"আমার কিডনি রোগ আছে, খুব ক্লান্ত লাগছে",YELLOW,bn:{t}খুব ক্লান্ত লাগছে
"আমি ডায়ালাইসিস নিচ্ছি, গতকাল থেকে খিঁচুনি হয়েছে",RED,bn:{t}খিঁচুনি হয়েছে
"Hello, which foods are high in potassium that I should avoid?",GREEN,en:which foods are high in potassium that I should avoid?
How much salt is safe for me per day?,GREEN,en:how much salt is safe for me per day?
My doctor said I have reduced kidney function and I have some abdominal cramping this morning,YELLOW,en:I have some abdominal cramping {t}
আমার রিপোর্ট কি চলে এসেছে?,GREEN,bn:আমার রিপোর্ট কি চলে এসেছে?
My back is hurting near my kidneys since last night,YELLOW,en:my back is hurting near my kidneys {t}
"আমি ডায়ালাইসিস নিচ্ছি, দুই দিন ধরে বুকে ব্যথা করছে",RED,bn:{t}বুকে ব্যথা করছে
"আমার কিডনি রোগ আছে, গতকাল থেকে অজ্ঞান হয়ে গিয়েছিলাম",RED,bn:{t}অজ্ঞান হয়ে গিয়েছিলাম
"As a kidney patient, I've been urinating less than usual for the last two days",YELLOW,en:I've been urinating less than usual {t}
"আমার কিডনি রোগ আছে, কয়েকদিন ধরে কোমরে ব্যথা করছে",YELLOW,bn:{t}কোমরে ব্যথা করছে
My doctor said I have reduced kidney function and I have mild abdominal discomfort since last night,YELLOW,en:I have mild abdominal discomfort {t}
"আমি ডায়ালাইসিস নিচ্ছি, আজ সকাল থেকে বুকে চাপ লাগছে",RED,bn:{t}বুকে চাপ লাগছে
I had a kidney transplant last year and my heartbeat feels irregular and I'm very weak and dizzy since yesterday,RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
"Hi, can my family member pick up my medication?",GREEN,en:can my family member pick up my medication?
Is it fine to have yogurt on my diet?,GREEN,en:is it fine to have yogurt on my diet?
I had a kidney transplant last year and my heartbeat feels irregular and I'm very weak and dizzy for a few days now,RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
"Hello, is brown rice okay for my diet?",GREEN,en:is brown rice okay for my diet?
I have stage 3 kidney disease and I feel severely confused for the last two days,RED,en:I feel severely confused {t}
My back is hurting near my kidneys over the past week,YELLOW,en:my back is hurting near my kidneys {t}
I have stage 3 kidney disease and I've been short of breath since yesterday,RED,en:I've been short of breath {t}
"Hello, thank you for the help during my last visit",GREEN,en:thank you for the help during my last visit
"আমার কিডনির কার্যক্ষমতা কমে গেছে, দুই দিন ধরে বমি বমি ভাব লাগছে",YELLOW,bn:{t}বমি বমি ভাব লাগছে
"Please, can I take paracetamol for a mild headache?",GREEN,en:can I take paracetamol for a mild headache?
"আমার কিডনি রোগ আছে, পা ও গোড়ালি ফুলে আছে",YELLOW,bn:{t}পা ও গোড়ালি ফুলে আছে
"As a kidney patient, my eyes are puffy in the mornings since yesterday",YELLOW,en:my eyes are puffy in the mornings {t}
"আমি ডায়ালাইসিস নিচ্ছি, আজ সকাল থেকে খিঁচুনি হয়েছে",RED,bn:{t}খিঁচুনি হয়েছে
I have a headache since yesterday,YELLOW,en:I have a headache {t}
"As a kidney patient, I've been vomiting blood for the last two days",RED,en:I've been vomiting blood {t}
"কিডনি রোগী হিসেবে বলছি, দুই দিন ধরে দম বন্ধ হয়ে আসছে",RED,bn:{t}দম বন্ধ হয়ে আসছে
I had a kidney transplant last year and I've been peeing blood for the last two days,RED,en:I've been peeing blood {t}
"As a kidney patient, I feel nauseous and have lost my appetite for the last two days",YELLOW,en:I feel nauseous and have lost my appetite {t}
"Hi, what should my daily water intake be?",GREEN,en:what should my daily water intake be?
I'm on dialysis and my urine output seems lower than normal since this afternoon,YELLOW,en:my urine output seems lower than normal {t}
"Hello, what documents do I need for my next visit?",GREEN,en:what documents do I need for my next visit?
I need to reschedule my appointment next week,GREEN,en:I need to reschedule my appointment next week
"As a kidney patient, I feel severely confused since last night",RED,en:I feel severely confused {t}
"Since my kidney stone, my hands and feet feel swollen this morning",YELLOW,en:my hands and feet feel swollen {t}
"আমার কিডনি রোগ আছে, গতকাল থেকে প্রস্রাব একদম বন্ধ হয়ে গেছে",RED,bn:{t}প্রস্রাব একদম বন্ধ হয়ে গেছে
"Hello, should I bring my previous reports to the appointment?",GREEN,en:should I bring my previous reports to the appointment?
I have a mild fever since yesterday,YELLOW,en:I have a mild fever {t}
My urine has turned dark like cola and I feel terrible for a few days now,RED,en:my urine has turned dark like cola and I feel terrible {t}
I have a mild fever since this afternoon,YELLOW,en:I have a mild fever {t}
My doctor said I have reduced kidney function and I've had trouble concentrating and feel foggy since last night,YELLOW,en:I've had trouble concentrating and feel foggy {t}
Quick question - should I take my phosphate binder before or after meals?,GREEN,en:should I take my phosphate binder before or after meals?
My doctor said I have reduced kidney function and I fainted this morning,RED,en:I fainted {t}
I had a kidney transplant last year and my legs are hugely swollen and now it's hard to lie flat for a few days now,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
Can my family member pick up my medication?,GREEN,en:can my family member pick up my medication?
"Hi, can I get my flu vaccination at the clinic?",GREEN,en:can I get my flu vaccination at the clinic?
I had a kidney transplant last year and I feel nauseous and have lost my appetite since yesterday,YELLOW,en:I feel nauseous and have lost my appetite {t}
My doctor said I have reduced kidney function and I've been really itchy all over over the past week,YELLOW,en:I've been really itchy all over {t}
I have stage 3 kidney disease and my blood pressure has been higher than usual this morning,YELLOW,en:my blood pressure has been higher than usual {t}
Quick question - how do I sign up for the patient portal?,GREEN,en:how do I sign up for the patient portal?
"Since my kidney stone, I have no urine output for a few days now",RED,en:I have no urine output {t}
"Good morning, can I eat bananas on my current diet?",GREEN,en:can I eat bananas on my current diet?
"As a kidney patient, I've been really itchy all over since yesterday",YELLOW,en:I've been really itchy all over {t}
"As a kidney patient, I have flank pain for the last two days",YELLOW,en:I have flank pain {t}
"Good morning, is it normal to get an occasional mild headache?",GREEN,en:is it normal to get an occasional mild headache?
"Since my kidney stone, I have flank pain since yesterday",YELLOW,en:I have flank pain {t}
"Since my kidney stone, I have severe pain in my side with a high fever and shaking chills for the last two days",RED,en:I have severe pain in my side with a high fever and shaking chills {t}
পরের সপ্তাহে অ্যাপয়েন্টমেন্ট পরিবর্তন করতে চাই,GREEN,bn:পরের সপ্তাহে অ্যাপয়েন্টমেন্ট পরিবর্তন করতে চাই
"আসসালামু আলাইকুম, গত ভিজিটে সাহায্যের জন্য ধন্যবাদ",GREEN,bn:গত ভিজিটে সাহায্যের জন্য ধন্যবাদ
I have stage 3 kidney disease and I have severe abdominal pain that won't go away since last night,RED,en:I have severe abdominal pain that won't go away {t}
"Quick question - I get a mild headache sometimes, is that anything to worry about?",GREEN,"en:I get a mild headache sometimes, is that anything to worry about?"
"আসসালামু আলাইকুম, ডায়ালাইসিসের সময় কখন?",GREEN,bn:ডায়ালাইসিসের সময় কখন?
কয়েকদিন ধরে শ্বাস নিতে খুব কষ্ট হচ্ছে,RED,bn:{t}শ্বাস নিতে খুব কষ্ট হচ্ছে
"As a kidney patient, I'm extremely drowsy and can barely stay awake since yesterday",RED,en:I'm extremely drowsy and can barely stay awake {t}
I've had a dull headache and feel a bit off since this afternoon,YELLOW,en:I've had a dull headache and feel a bit off {t}
I have CKD and I've had muscle cramps since this afternoon,YELLOW,en:I've had muscle cramps {t}
I had a kidney transplant last year and I have a headache this morning,YELLOW,en:I have a headache {t}
"As a kidney patient, I have a sudden severe headache, the worst one of my life over the past week",RED,"en:I have a sudden severe headache, the worst one of my life {t}"
My doctor said I have reduced kidney function and I've been urinating less than usual this morning,YELLOW,en:I've been urinating less than usual {t}
I have CKD and I'm going to the bathroom less often for a few days now,YELLOW,en:I'm going to the bathroom less often {t}
My face looks puffy since last night,YELLOW,en:my face looks puffy {t}
I had a kidney transplant last year and blood is coming through my urine since yesterday,RED,en:blood is coming through my urine {t}
I have stage 3 kidney disease and I'm extremely drowsy and can barely stay awake since this afternoon,RED,en:I'm extremely drowsy and can barely stay awake {t}
"Since my kidney stone, my urine output seems lower than normal this morning",YELLOW,en:my urine output seems lower than normal {t}
Is brown rice okay for my diet?,GREEN,en:is brown rice okay for my diet?
My face looks puffy for a few days now,YELLOW,en:my face looks puffy {t}
"Please, how many cups of fluid can I have daily?",GREEN,en:how many cups of fluid can I have daily?
