text,label,template
"As a kidney patient, my family said I was unresponsive over the past week",RED,en:my family said I was unresponsive {t}
I have CKD and my hands and feet feel swollen since yesterday,YELLOW,en:my hands and feet feel swollen {t}
My doctor said I have reduced kidney function and I am passing dark red urine since yesterday,RED,en:I am passing dark red urine {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, গতকাল থেকে প্রস্রাবে রক্ত যাচ্ছে",RED,bn:{t}প্রস্রাবে রক্ত যাচ্ছে
I had a kidney transplant last year and my ankles puff up by the evening since yesterday,YELLOW,en:my ankles puff up by the evening {t}
"As a kidney patient, my bladder feels full but nothing will come since last night",RED,en:my bladder feels full but nothing will come {t}
Quick question - should I bring my previous reports to the appointment?,GREEN,en:should I bring my previous reports to the appointment?
I had a kidney transplant last year and my legs are hugely swollen and now it's hard to lie flat over the past week,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
"As a kidney patient, I'm extremely drowsy and can barely stay awake this morning",RED,en:I'm extremely drowsy and can barely stay awake {t}
"Good morning, is it safe for me to exercise at the gym?",GREEN,en:is it safe for me to exercise at the gym?
"আমার কিডনি রোগ আছে, কয়েকদিন ধরে পা ফুলে যাচ্ছে",YELLOW,bn:{t}পা ফুলে যাচ্ছে
"Hello, how do I update my address in your records?",GREEN,en:how do I update my address in your records?
"কিডনি রোগী হিসেবে বলছি, দুই দিন ধরে কিডনির জায়গায় হালকা ব্যথা",YELLOW,bn:{t}কিডনির জায়গায় হালকা ব্যথা
"Since my kidney stone, my back is hurting near my kidneys for the last two days",YELLOW,en:my back is hurting near my kidneys {t}
I'm on dialysis and I have severe pain in my side with a high fever and shaking chills since last night,RED,en:I have severe pain in my side with a high fever and shaking chills {t}
I have CKD and I'm going to the bathroom less often since last night,YELLOW,en:I'm going to the bathroom less often {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, গতকাল থেকে খেতে ইচ্ছে করছে না",YELLOW,bn:{t}খেতে ইচ্ছে করছে না
I'm on dialysis and I have felt feverish for the last two days,YELLOW,en:I have felt feverish {t}
I had a kidney transplant last year and I've been feeling very tired and weak since this afternoon,YELLOW,en:I've been feeling very tired and weak {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, দুই দিন ধরে রক্তচাপ স্বাভাবিকের চেয়ে বেশি",YELLOW,bn:{t}রক্তচাপ স্বাভাবিকের চেয়ে বেশি
একটা প্রশ্ন ছিল - বিল কি অনলাইনে দেওয়া যাবে?,GREEN,bn:বিল কি অনলাইনে দেওয়া যাবে?
I have stage 3 kidney disease and I have pain near my kidneys for the last two days,YELLOW,en:I have pain near my kidneys {t}
I cannot empty my bladder since last night,RED,en:I cannot empty my bladder {t}
I had a kidney transplant last year and my urine looks foamy since this afternoon,YELLOW,en:my urine looks foamy {t}
I had a kidney transplant last year and I've been really itchy all over for the last two days,YELLOW,en:I've been really itchy all over {t}
My doctor said I have reduced kidney function and I cannot get a full breath in since yesterday,RED,en:I cannot get a full breath in {t}
I have CKD and my heartbeat feels irregular and I'm very weak and dizzy this morning,RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
I had a kidney transplant last year and I have the most severe headache I have ever felt for a few days now,RED,en:I have the most severe headache I have ever felt {t}
"আমার কিডনি রোগ আছে, আজ সকাল থেকে হালকা জ্বর এসেছে",YELLOW,bn:{t}হালকা জ্বর এসেছে
I'm on dialysis and my heartbeat feels irregular and I'm very weak and dizzy this morning,RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
"Please, are my last lab results available yet?",GREEN,en:are my last lab results available yet?
"As a kidney patient, I have been sleeping badly since last night",YELLOW,en:I have been sleeping badly {t}
"Good morning, should I take my phosphate binder before or after meals?",GREEN,en:should I take my phosphate binder before or after meals?
"Since my kidney stone, I've noticed a strange odor in my urine since this afternoon",YELLOW,en:I've noticed a strange odor in my urine {t}
I have stage 3 kidney disease and I've had a headache on and off since last night,YELLOW,en:I've had a headache on and off {t}
I'm on dialysis and I am too weak to stand up for a few days now,RED,en:I am too weak to stand up {t}
There is pressure across my chest since yesterday,RED,en:there is pressure across my chest {t}
My doctor said I have reduced kidney function and my chest feels squeezed since yesterday,RED,en:my chest feels squeezed {t}
"Hi, how do I update my address in your records?",GREEN,en:how do I update my address in your records?
I'm on dialysis and my legs are hugely swollen and now it's hard to lie flat since this afternoon,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
ক্লিনিক কি শুক্রবার খোলা থাকে?,GREEN,bn:ক্লিনিক কি শুক্রবার খোলা থাকে?
I'm on dialysis and I feel nauseous and have lost my appetite for the last two days,YELLOW,en:I feel nauseous and have lost my appetite {t}
My doctor said I have reduced kidney function and my eyes are puffy in the mornings since last night,YELLOW,en:my eyes are puffy in the mornings {t}
"My doctor said I have reduced kidney function and I have a bit of a headache today, nothing too bad",YELLOW,"en:I have a bit of a headache today, nothing too bad"
I have stage 3 kidney disease and I've been vomiting blood for a few days now,RED,en:I've been vomiting blood {t}
I have CKD and I get breathless just walking across the room since yesterday,RED,en:I get breathless just walking across the room {t}
"Hi, is the pharmacy open after 6 pm?",GREEN,en:is the pharmacy open after 6 pm?
My family said I was unresponsive since yesterday,RED,en:my family said I was unresponsive {t}
My doctor said I have reduced kidney function and there is red in the toilet after I pee for a few days now,RED,en:there is red in the toilet after I pee {t}
Quick question - what time is my dialysis session tomorrow?,GREEN,en:what time is my dialysis session tomorrow?
I had a kidney transplant last year and my face is puffy in the mornings over the past week,YELLOW,en:my face is puffy in the mornings {t}
I'm on dialysis and I fainted since this afternoon,RED,en:I fainted {t}
I am too weak to stand up for the last two days,RED,en:I am too weak to stand up {t}
I'm on dialysis and I'm extremely drowsy and can barely stay awake since last night,RED,en:I'm extremely drowsy and can barely stay awake {t}
I have CKD and my urine looks foamy over the past week,YELLOW,en:my urine looks foamy {t}
"Quick question - I get a mild headache sometimes, is that anything to worry about?",GREEN,"en:I get a mild headache sometimes, is that anything to worry about?"
"কিডনি রোগী হিসেবে বলছি, আজ সকাল থেকে হালকা মাথাব্যথা করছে",YELLOW,bn:{t}হালকা মাথাব্যথা করছে
My doctor said I have reduced kidney function and my ankles leave a dent when I press them this morning,YELLOW,en:my ankles leave a dent when I press them {t}
Is it safe for me to exercise at the gym?,GREEN,en:is it safe for me to exercise at the gym?
Can I get my flu vaccination at the clinic?,GREEN,en:can I get my flu vaccination at the clinic?
"As a kidney patient, I have a nagging ache in my side since yesterday",YELLOW,en:I have a nagging ache in my side {t}
My stomach feels bloated after meals since last night,YELLOW,en:my stomach feels bloated after meals {t}
I've been vomiting blood for a few days now,RED,en:I've been vomiting blood {t}
"Hello, I need to reschedule my appointment next week",GREEN,en:I need to reschedule my appointment next week
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কাল রাত থেকে প্রস্রাব একদম বন্ধ হয়ে গেছে",RED,bn:{t}প্রস্রাব একদম বন্ধ হয়ে গেছে
"Good morning, can I eat tomatoes with my condition?",GREEN,en:can I eat tomatoes with my condition?
"Hello, what time is my dialysis session tomorrow?",GREEN,en:what time is my dialysis session tomorrow?
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কয়েকদিন ধরে আমি জ্ঞান হারিয়ে ফেলেছিলাম",RED,bn:{t}আমি জ্ঞান হারিয়ে ফেলেছিলাম
"Hi, is brown rice okay for my diet?",GREEN,en:is brown rice okay for my diet?
"Hello, can I book an appointment for next Monday?",GREEN,en:can I book an appointment for next Monday?
"আমি ডায়ালাইসিস নিচ্ছি, পেটে হালকা ব্যথা",YELLOW,bn:{t}পেটে হালকা ব্যথা
"Good morning, can I travel by plane next month?",GREEN,en:can I travel by plane next month?
My doctor said I have reduced kidney function and I've been throwing up nonstop and can't keep any water down this morning,RED,en:I've been throwing up nonstop and can't keep any water down {t}
I have stage 3 kidney disease and my urine has turned dark like cola and I feel terrible since last night,RED,en:my urine has turned dark like cola and I feel terrible {t}
"As a kidney patient, I've been vomiting blood over the past week",RED,en:I've been vomiting blood {t}
My doctor said I have reduced kidney function and I'm having chest pain for a few days now,RED,en:I'm having chest pain {t}
"As a kidney patient, I pass water less often than I used to since this afternoon",YELLOW,en:I pass water less often than I used to {t}
একটা প্রশ্ন ছিল - পরের ভিজিট কবে?,GREEN,bn:পরের ভিজিট কবে?
"Please, is brown rice okay for my diet?",GREEN,en:is brown rice okay for my diet?
My doctor said I have reduced kidney function and I brought up blood for a few days now,RED,en:I brought up blood {t}
"Hello, should I take my phosphate binder before or after meals?",GREEN,en:should I take my phosphate binder before or after meals?
"As a kidney patient, I've had muscle cramps since yesterday",YELLOW,en:I've had muscle cramps {t}
This is the worst headache I've ever had this morning,RED,en:this is the worst headache I've ever had {t}
I had a kidney transplant last year and I feel severely confused for a few days now,RED,en:I feel severely confused {t}
"কিডনি রোগী হিসেবে বলছি, দুই দিন ধরে রক্ত বমি হচ্ছে",RED,bn:{t}রক্ত বমি হচ্ছে
I have stage 3 kidney disease and I've had a dull headache and feel a bit off since yesterday,YELLOW,en:I've had a dull headache and feel a bit off {t}
There is red in the toilet after I pee this morning,RED,en:there is red in the toilet after I pee {t}
I cannot empty my bladder since this afternoon,RED,en:I cannot empty my bladder {t}
"আসসালামু আলাইকুম, রক্ত পরীক্ষার আগে কি খালি পেটে থাকতে হবে?",GREEN,bn:রক্ত পরীক্ষার আগে কি খালি পেটে থাকতে হবে?
"দয়া করে জানাবেন, পরের সপ্তাহে অ্যাপয়েন্টমেন্ট পরিবর্তন করতে চাই",GREEN,bn:পরের সপ্তাহে অ্যাপয়েন্টমেন্ট পরিবর্তন করতে চাই
"দয়া করে জানাবেন, ওষুধ কি খাবারের আগে না পরে খাব?",GREEN,bn:ওষুধ কি খাবারের আগে না পরে খাব?
"আমি ডায়ালাইসিস নিচ্ছি, দুই দিন ধরে রক্ত বমি হচ্ছে",RED,bn:{t}রক্ত বমি হচ্ছে
"As a kidney patient, I feel severely confused for a few days now",RED,en:I feel severely confused {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কাল রাত থেকে বমি বমি ভাব লাগছে",YELLOW,bn:{t}বমি বমি ভাব লাগছে
My doctor said I have reduced kidney function and there is red in the toilet after I pee since yesterday,RED,en:there is red in the toilet after I pee {t}
"আমি ডায়ালাইসিস নিচ্ছি, কয়েকদিন ধরে খুব দুর্বল লাগছে",YELLOW,bn:{t}খুব দুর্বল লাগছে
My doctor said I have reduced kidney function and I get cramp in my legs at night for a few days now,YELLOW,en:I get cramp in my legs at night {t}
"কিডনি রোগী হিসেবে বলছি, কাল রাত থেকে মুখে ধাতব স্বাদ লাগছে",YELLOW,bn:{t}মুখে ধাতব স্বাদ লাগছে
"আমি ডায়ালাইসিস নিচ্ছি, দুই দিন ধরে হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে",RED,bn:{t}হঠাৎ তীব্র মাথাব্যথা শুরু হয়েছে
"Hi, is it fine to have yogurt on my diet?",GREEN,en:is it fine to have yogurt on my diet?
"Please, what should my daily water intake be?",GREEN,en:what should my daily water intake be?
My doctor said I have reduced kidney function and I'm having chest pain for the last two days,RED,en:I'm having chest pain {t}
I have stage 3 kidney disease and I can't breathe properly over the past week,RED,en:I can't breathe properly {t}
"আমি ডায়ালাইসিস নিচ্ছি, গতকাল থেকে বুকে চাপ লাগছে",RED,bn:{t}বুকে চাপ লাগছে
"আসসালামু আলাইকুম, ওষুধ কি খাবারের আগে না পরে খাব?",GREEN,bn:ওষুধ কি খাবারের আগে না পরে খাব?
I'm on dialysis and I've gained a few kilos since last night and feel bloated,YELLOW,en:I've gained a few kilos {t} and feel bloated
I had a kidney transplant last year and I have the most severe headache I have ever felt this morning,RED,en:I have the most severe headache I have ever felt {t}
"As a kidney patient, my chest feels tight and heavy over the past week",RED,en:my chest feels tight and heavy {t}
"Since my kidney stone, I'm having chest pain over the past week",RED,en:I'm having chest pain {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, গতকাল থেকে পা ও গোড়ালি ফুলে আছে",YELLOW,bn:{t}পা ও গোড়ালি ফুলে আছে
My doctor said I have reduced kidney function and I have heavy bleeding that won't stop for the last two days,RED,en:I have heavy bleeding that won't stop {t}
I get cramp in my legs at night since last night,YELLOW,en:I get cramp in my legs at night {t}
"আমার কিডনি রোগ আছে, সারা শরীর চুলকাচ্ছে",YELLOW,bn:{t}সারা শরীর চুলকাচ্ছে
I noticed blood in my urine for the last two days,RED,en:I noticed blood in my urine {t}
"Good morning, I need to reschedule my appointment next week",GREEN,en:I need to reschedule my appointment next week
I need to reschedule my appointment next week,GREEN,en:I need to reschedule my appointment next week
"আমি ডায়ালাইসিস নিচ্ছি, কাল রাত থেকে হালকা মাথাব্যথা করছে",YELLOW,bn:{t}হালকা মাথাব্যথা করছে
"আমার কিডনি রোগ আছে, কয়েকদিন ধরে শ্বাসকষ্ট হচ্ছে",RED,bn:{t}শ্বাসকষ্ট হচ্ছে
I have stage 3 kidney disease and my urine output seems lower than normal this morning,YELLOW,en:my urine output seems lower than normal {t}
"Since my kidney stone, I am too weak to stand up for a few days now",RED,en:I am too weak to stand up {t}
Can I pay my bill online?,GREEN,en:can I pay my bill online?
"As a kidney patient, I cannot get a full breath in since yesterday",RED,en:I cannot get a full breath in {t}
My doctor said I have reduced kidney function and I have had no energy at all since this afternoon,YELLOW,en:I have had no energy at all {t}
"আমার কিডনি রোগ আছে, কাল রাত থেকে খিঁচুনি হয়েছে",RED,bn:{t}খিঁচুনি হয়েছে
"Good morning, is brown rice okay for my diet?",GREEN,en:is brown rice okay for my diet?
I have no urine output for a few days now,RED,en:I have no urine output {t}
Quick question - is there parking available at the clinic?,GREEN,en:is there parking available at the clinic?
"Since my kidney stone, my back is hurting near my kidneys this morning",YELLOW,en:my back is hurting near my kidneys {t}
"Hello, what should my daily water intake be?",GREEN,en:what should my daily water intake be?
"Hi, what documents do I need for my next visit?",GREEN,en:what documents do I need for my next visit?
I'm on dialysis and I have felt feverish since yesterday,YELLOW,en:I have felt feverish {t}
I'm on dialysis and my hands and feet feel swollen since this afternoon,YELLOW,en:my hands and feet feel swollen {t}
"I have a sudden severe headache, the worst one of my life for the last two days",RED,"en:I have a sudden severe headache, the worst one of my life {t}"
"Quick question - I have a mild stomach ache after eating spicy food, is that normal?",GREEN,"en:I have a mild stomach ache after eating spicy food, is that normal?"
"As a kidney patient, my stomach feels bloated after meals for a few days now",YELLOW,en:my stomach feels bloated after meals {t}
I have severe pain in my side with a high fever and shaking chills since this afternoon,RED,en:I have severe pain in my side with a high fever and shaking chills {t}
"As a kidney patient, my ankles leave a dent when I press them for the last two days",YELLOW,en:my ankles leave a dent when I press them {t}
I had a kidney transplant last year and I've been really itchy all over since last night,YELLOW,en:I've been really itchy all over {t}
"Hi, can I get my flu vaccination at the clinic?",GREEN,en:can I get my flu vaccination at the clinic?
My doctor said I have reduced kidney function and my heartbeat feels irregular and I'm very weak and dizzy for the last two days,RED,en:my heartbeat feels irregular and I'm very weak and dizzy {t}
I had a kidney transplant last year and my face looks puffy for the last two days,YELLOW,en:my face looks puffy {t}
My urine is the colour of blood since this afternoon,RED,en:my urine is the colour of blood {t}
I'm on dialysis and this is the worst headache I've ever had since this afternoon,RED,en:this is the worst headache I've ever had {t}
"As a kidney patient, I've been feeling very tired and weak since last night",YELLOW,en:I've been feeling very tired and weak {t}
My doctor said I have reduced kidney function and my blood pressure has been higher than usual over the past week,YELLOW,en:my blood pressure has been higher than usual {t}
My doctor said I have reduced kidney function and I've been urinating less than usual this morning,YELLOW,en:I've been urinating less than usual {t}
"As a kidney patient, I have a mild headache since this afternoon",YELLOW,en:I have a mild headache {t}
I'm on dialysis and I have severe pain in my side with a high fever and shaking chills since this afternoon,RED,en:I have severe pain in my side with a high fever and shaking chills {t}
"আমার কিডনি রোগ আছে, আজ সকাল থেকে কোমরে ব্যথা করছে",YELLOW,bn:{t}কোমরে ব্যথা করছে
I have stage 3 kidney disease and I have pain near my kidneys since last night,YELLOW,en:I have pain near my kidneys {t}
"Since my kidney stone, I've been really itchy all over over the past week",YELLOW,en:I've been really itchy all over {t}
"Hi, is it safe for me to exercise at the gym?",GREEN,en:is it safe for me to exercise at the gym?
"কিডনি রোগী হিসেবে বলছি, কয়েকদিন ধরে প্রস্রাব একদম বন্ধ হয়ে গেছে",RED,bn:{t}প্রস্রাব একদম বন্ধ হয়ে গেছে
"As a kidney patient, I haven't passed any urine for the last two days",RED,en:I haven't passed any urine {t}
I am so swollen that I cannot sleep lying down since last night,RED,en:I am so swollen that I cannot sleep lying down {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, দুই দিন ধরে প্রস্রাব কম হচ্ছে",YELLOW,bn:{t}প্রস্রাব কম হচ্ছে
I had a kidney transplant last year and I've been peeing blood over the past week,RED,en:I've been peeing blood {t}
"আমি ডায়ালাইসিস নিচ্ছি, গতকাল থেকে শ্বাস নিতে খুব কষ্ট হচ্ছে",RED,bn:{t}শ্বাস নিতে খুব কষ্ট হচ্ছে
I have stage 3 kidney disease and this is the worst headache I've ever had this morning,RED,en:this is the worst headache I've ever had {t}
"Hi, is there parking available at the clinic?",GREEN,en:is there parking available at the clinic?
"আমার কিডনির কার্যক্ষমতা কমে গেছে, কাল রাত থেকে প্রস্রাব করতে পারছি না",RED,bn:{t}প্রস্রাব করতে পারছি না
"As a kidney patient, I have gone off my food since yesterday",YELLOW,en:I have gone off my food {t}
I have stage 3 kidney disease and I have a mild fever for the last two days,YELLOW,en:I have a mild fever {t}
একটা প্রশ্ন ছিল - রক্ত পরীক্ষার আগে কি খালি পেটে থাকতে হবে?,GREEN,bn:রক্ত পরীক্ষার আগে কি খালি পেটে থাকতে হবে?
গতকাল থেকে পা ফুলে যাচ্ছে,YELLOW,bn:{t}পা ফুলে যাচ্ছে
"দয়া করে জানাবেন, ওষুধ খাওয়ার নিয়ম কী?",GREEN,bn:ওষুধ খাওয়ার নিয়ম কী?
I had a kidney transplant last year and I've been throwing up nonstop and can't keep any water down this morning,RED,en:I've been throwing up nonstop and can't keep any water down {t}
I'm on dialysis and I am so swollen that I cannot sleep lying down over the past week,RED,en:I am so swollen that I cannot sleep lying down {t}
I have stage 3 kidney disease and I have felt feverish since last night,YELLOW,en:I have felt feverish {t}
I have stage 3 kidney disease and there is pressure across my chest for a few days now,RED,en:there is pressure across my chest {t}
My ankles puff up by the evening since yesterday,YELLOW,en:my ankles puff up by the evening {t}
"Since my kidney stone, my legs are hugely swollen and now it's hard to lie flat for a few days now",RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
"Since my kidney stone, I have a dull ache in my kidney area for a few days now",YELLOW,en:I have a dull ache in my kidney area {t}
I had a kidney transplant last year and I collapsed since this afternoon,RED,en:I collapsed {t}
I'm on dialysis and my abdominal pain is severe and I also have a high fever over the past week,RED,en:my abdominal pain is severe and I also have a high fever {t}
"কিডনি রোগী হিসেবে বলছি, আজ সকাল থেকে শ্বাস নিতে খুব কষ্ট হচ্ছে",RED,bn:{t}শ্বাস নিতে খুব কষ্ট হচ্ছে
I had a kidney transplant last year and I get breathless just walking across the room for the last two days,RED,en:I get breathless just walking across the room {t}
"আমি ডায়ালাইসিস নিচ্ছি, কাল রাত থেকে কিডনির জায়গায় হালকা ব্যথা",YELLOW,bn:{t}কিডনির জায়গায় হালকা ব্যথা
"আসসালামু আলাইকুম, কলা খেতে পারব কি?",GREEN,bn:কলা খেতে পারব কি?
I have stage 3 kidney disease and blood is coming through my urine over the past week,RED,en:blood is coming through my urine {t}
"কিডনি রোগী হিসেবে বলছি, দুই দিন ধরে খুব ক্লান্ত লাগছে",YELLOW,bn:{t}খুব ক্লান্ত লাগছে
I have stage 3 kidney disease and my side hurts near where my kidney is since last night,YELLOW,en:my side hurts near where my kidney is {t}
I'm on dialysis and my face looks puffy for a few days now,YELLOW,en:my face looks puffy {t}
I have CKD and my bladder feels full but nothing will come since last night,RED,en:my bladder feels full but nothing will come {t}
Quick question - can I switch to an evening dialysis slot?,GREEN,en:can I switch to an evening dialysis slot?
"আমার কিডনির কার্যক্ষমতা কমে গেছে, দুই দিন ধরে মুখ ফুলে গেছে",YELLOW,bn:{t}মুখ ফুলে গেছে
I have stage 3 kidney disease and I noticed blood in my urine since last night,RED,en:I noticed blood in my urine {t}
I have CKD and I have not been able to pee for the last two days,RED,en:I have not been able to pee {t}
Quick question - what should my daily water intake be?,GREEN,en:what should my daily water intake be?
My doctor said I have reduced kidney function and I've had muscle cramps for the last two days,YELLOW,en:I've had muscle cramps {t}
I'm on dialysis and I'm having chest pain over the past week,RED,en:I'm having chest pain {t}
"কিডনি রোগী হিসেবে বলছি, কয়েকদিন ধরে প্রস্রাবে ফেনা হচ্ছে",YELLOW,bn:{t}প্রস্রাবে ফেনা হচ্ছে
I have stage 3 kidney disease and I am too weak to stand up this morning,RED,en:I am too weak to stand up {t}
My urine is the colour of blood since last night,RED,en:my urine is the colour of blood {t}
"As a kidney patient, I've been feeling very tired and weak over the past week",YELLOW,en:I've been feeling very tired and weak {t}
I cannot empty my bladder over the past week,RED,en:I cannot empty my bladder {t}
"As a kidney patient, I noticed blood in my urine since last night",RED,en:I noticed blood in my urine {t}
My doctor said I have reduced kidney function and this is the worst headache I've ever had for the last two days,RED,en:this is the worst headache I've ever had {t}
My doctor said I have reduced kidney function and my bladder feels full but nothing will come for the last two days,RED,en:my bladder feels full but nothing will come {t}
"As a kidney patient, I feel dizzy when I stand up for the last two days",YELLOW,en:I feel dizzy when I stand up {t}
"As a kidney patient, my urine is the colour of blood this morning",RED,en:my urine is the colour of blood {t}
My doctor said I have reduced kidney function and I have the most severe headache I have ever felt for the last two days,RED,en:I have the most severe headache I have ever felt {t}
"আমার কিডনি রোগ আছে, পেটে হালকা ব্যথা",YELLOW,bn:{t}পেটে হালকা ব্যথা
"Since my kidney stone, I've had a dull headache and feel a bit off this morning",YELLOW,en:I've had a dull headache and feel a bit off {t}
I have CKD and I have not been able to pee over the past week,RED,en:I have not been able to pee {t}
Quick question - can I take paracetamol for a mild headache?,GREEN,en:can I take paracetamol for a mild headache?
I have CKD and I cannot get a full breath in for the last two days,RED,en:I cannot get a full breath in {t}
My doctor said I have reduced kidney function and I've had a dull headache and feel a bit off for the last two days,YELLOW,en:I've had a dull headache and feel a bit off {t}
I'm on dialysis and my legs are hugely swollen and now it's hard to lie flat for a few days now,RED,en:my legs are hugely swollen and now it's hard to lie flat {t}
I'm on dialysis and I haven't passed any urine since this afternoon,RED,en:I haven't passed any urine {t}
I had a kidney transplant last year and I've gained a few kilos this morning and feel bloated,YELLOW,en:I've gained a few kilos {t} and feel bloated
"Hello, is a bit of an upset stomach after meals normal for my condition?",GREEN,en:is a bit of an upset stomach after meals normal for my condition?
I had a kidney transplant last year and I've been urinating less than usual since this afternoon,YELLOW,en:I've been urinating less than usual {t}
"Since my kidney stone, my bladder feels full but nothing will come for a few days now",RED,en:my bladder feels full but nothing will come {t}
"Hi, can I book an appointment for next Monday?",GREEN,en:can I book an appointment for next Monday?
"কিডনি রোগী হিসেবে বলছি, আজ সকাল থেকে প্রস্রাব করতে পারছি না",RED,bn:{t}প্রস্রাব করতে পারছি না
"Please, I have a mild stomach ache after eating spicy food, is that normal?",GREEN,"en:I have a mild stomach ache after eating spicy food, is that normal?"
"Hi, is there wheelchair access at the entrance?",GREEN,en:is there wheelchair access at the entrance?
I have had no energy at all since yesterday,YELLOW,en:I have had no energy at all {t}
I have CKD and my eyes are puffy in the mornings for a few days now,YELLOW,en:my eyes are puffy in the mornings {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, গতকাল থেকে হালকা জ্বর এসেছে",YELLOW,bn:{t}হালকা জ্বর এসেছে
Quick question - how long does a routine checkup usually take?,GREEN,en:how long does a routine checkup usually take?
I have CKD and my urine has turned dark like cola and I feel terrible for the last two days,RED,en:my urine has turned dark like cola and I feel terrible {t}
"As a kidney patient, I am so swollen that I cannot sleep lying down since this afternoon",RED,en:I am so swollen that I cannot sleep lying down {t}
Quick question - can I eat tomatoes with my condition?,GREEN,en:can I eat tomatoes with my condition?
I have CKD and my skin itches badly since this afternoon,YELLOW,en:my skin itches badly {t}
"Since my kidney stone, I have gone off my food this morning",YELLOW,en:I have gone off my food {t}
"Since my kidney stone, I think I had a seizure for a few days now",RED,en:I think I had a seizure {t}
I have CKD and my urine has an unusual smell for a few days now,YELLOW,en:my urine has an unusual smell {t}
I had a kidney transplant last year and my eyes are puffy in the mornings since yesterday,YELLOW,en:my eyes are puffy in the mornings {t}
I had a kidney transplant last year and I have heavy bleeding that won't stop since yesterday,RED,en:I have heavy bleeding that won't stop {t}
I have CKD and my face looks puffy since yesterday,YELLOW,en:my face looks puffy {t}
I'm on dialysis and I have the most severe headache I have ever felt for the last two days,RED,en:I have the most severe headache I have ever felt {t}
"As a kidney patient, I brought up blood this morning",RED,en:I brought up blood {t}
"Since my kidney stone, I have a mild headache since last night",YELLOW,en:I have a mild headache {t}
Quick question - how do I update my address in your records?,GREEN,en:how do I update my address in your records?
"As a kidney patient, I can't breathe properly since yesterday",RED,en:I can't breathe properly {t}
"Hello, how much salt is safe for me per day?",GREEN,en:how much salt is safe for me per day?
I'm on dialysis and I go lightheaded when I stand up for a few days now,YELLOW,en:I go lightheaded when I stand up {t}
"As a kidney patient, I have flank pain this morning",YELLOW,en:I have flank pain {t}
"কিডনি রোগী হিসেবে বলছি, গতকাল থেকে বুকে চাপ লাগছে",RED,bn:{t}বুকে চাপ লাগছে
My doctor said I have reduced kidney function and my back is hurting near my kidneys over the past week,YELLOW,en:my back is hurting near my kidneys {t}
I have stage 3 kidney disease and I am badly out of breath for a few days now,RED,en:I am badly out of breath {t}
I'm on dialysis and I have a nagging ache in my side over the past week,YELLOW,en:I have a nagging ache in my side {t}
I had a kidney transplant last year and there's blood when I pee since yesterday,RED,en:there's blood when I pee {t}
I had a kidney transplant last year and I have had no energy at all since yesterday,YELLOW,en:I have had no energy at all {t}
I had a kidney transplant last year and I have a nagging ache in my side since last night,YELLOW,en:I have a nagging ache in my side {t}
"Please, is it okay to have oranges with my potassium levels?",GREEN,en:is it okay to have oranges with my potassium levels?
"Good morning, what time is my dialysis session tomorrow?",GREEN,en:what time is my dialysis session tomorrow?
I'm on dialysis and I passed out this morning,RED,en:I passed out {t}
"Hi, I need to reschedule my appointment next week",GREEN,en:I need to reschedule my appointment next week
I had a kidney transplant last year and I am too weak to stand up since last night,RED,en:I am too weak to stand up {t}
I'm on dialysis and my legs and ankles have been swelling over the past week,YELLOW,en:my legs and ankles have been swelling {t}
I'm on dialysis and I feel severely confused for a few days now,RED,en:I feel severely confused {t}
"Good morning, when is my next follow-up scheduled?",GREEN,en:when is my next follow-up scheduled?
"As a kidney patient, there's a metallic taste in my mouth over the past week",YELLOW,en:there's a metallic taste in my mouth {t}
I had a kidney transplant last year and I have a dull ache in my kidney area for the last two days,YELLOW,en:I have a dull ache in my kidney area {t}
My doctor said I have reduced kidney function and I haven't passed any urine this morning,RED,en:I haven't passed any urine {t}
"আমার কিডনির কার্যক্ষমতা কমে গেছে, দুই দিন ধরে শ্বাসকষ্ট হচ্ছে",RED,bn:{t}শ্বাসকষ্ট হচ্ছে
"Good morning, what documents do I need for my next visit?",GREEN,en:what documents do I need for my next visit?
My urine smells different than usual this morning,YELLOW,en:my urine smells different than usual {t}
I'm on dialysis and I am too weak to stand up since yesterday,RED,en:I am too weak to stand up {t}
"As a kidney patient, I am too weak to stand up for a few days now",RED,en:I am too weak to stand up {t}
"কিডনি রোগী হিসেবে বলছি, আজ সকাল থেকে খুব দুর্বল লাগছে",YELLOW,bn:{t}খুব দুর্বল লাগছে
My eyes are puffy in the mornings over the past week,YELLOW,en:my eyes are puffy in the mornings {t}
I have stage 3 kidney disease and I have gone off my food for the last two days,YELLOW,en:I have gone off my food {t}
